Poet,Title,Poem
LANGSTON HUGHES,50-50,"I’m all alone in this world, she said,
Ain’t got nobody to share my bed,
Ain’t got nobody to hold my hand—
The truth of the matter’s
I ain’t got no man.

Big Boy opened his mouth and said,
Trouble with you is
You ain’t got no head!
If you had a head and used your mind
You could have me with you
All the time.

She answered, Babe, what must I do?

He said, Share your bed—
And your money, too."
LANGSTON HUGHES,Boogie: 1 A.M.,"Good evening, daddy!
I know you’ve heard
The boogie-woogie rumble
Of a dream deferred
Trilling the treble
And twining the bass
Into midnight ruffles
Of cat-gut lace."
LANGSTON HUGHES,Black Maria,"Must be the black Maria
That I see,
The black Maria that I see
But I hope it
Ain't comin' for me.

Hear that music playin' upstairs?
Aw, my heart is
Full of cares
But that music playin' upstairs
Is for me.
Babe, did you ever
See de sun"
LANGSTON HUGHES,"BLUES IN STEREO 
","YOUR NUMBER'S COMING OUT! BOUQUETS I'LL SEND YOU AND DREAMS I'LL SEND YOU AND HORSES SHOD WITH GOLD ON WHICH TO RIDE IF MOTOR CARS WOULD BE TOO TAME- TRIUMPHAL ENTRY SEND YOU-SHOUTS FROM THE EARTH ITSELF BARE FEET TO BEAT THE GREAT DRUM BEAT OF GLORY TO YOUR NAME AND MINE-ONE AND THE SAME: YOU BAREFOOT, TOO, IN THE QUARTER OF THE NEGROES WHERE AN ANCIENT RIVER FLOWS PAST HUTS THAT HOUSE A MILLION BLACKS AND THE WHITE GOD NEVER GOES FOR THE MOON WOULD WHITE HIS WHITENESS BEYOND ITS MASK OF WHITENESS AND T. NIGHT MIGHT BE ASTONISHED AND SO LOSE ITS REPOSE. 
IN A TOWN NAMED AFTER STANLEY NIGHT EACH NIGHT COMES NIGHTLY 
"
LANGSTON HUGHES,Brass Spittoons,"Clean the spittoons, boy.
      Detroit,
      Chicago,
      Atlantic City,
      Palm Beach.
Clean the spittoons.
The steam in hotel kitchens,
And the smoke in hotel lobbies,
And the slime in hotel spittoons:
Part of my life.
      Hey, boy!
      A nickel,
      A dime,
      A dollar,
Two dollars a day.
      Hey, boy!
      A nickel,
      A dime,
      A dollar,
      Two dollars
Buy shoes for the baby.
House rent to pay.
Gin on Saturday,
Church on Sunday.
      My God!
Babies and gin and church
And women and Sunday
All mixed with dimes and
Dollars and clean spittoons
And house rent to pay.
      Hey, boy!
A bright bowl of brass is beautiful to the Lord.
Bright polished brass like the cymbals
Of King David’s dancers,
Like the wine cups of Solomon.
      Hey, boy!
A clean spittoon on the altar of the Lord.
A clean bright spittoon all newly polished—
At least I can offer that.
      Com’mere, boy!
"
LANGSTON HUGHES,Catch,"Big Boy came
Carrying a mermaid   
On his shoulders   
And the mermaid   
Had her tail
Curved
Beneath his arm.

Being a fisher boy,
He’d found a fish
To carry—
Half fish,   
Half girl   
To marry.
"
LANGSTON HUGHES,Cross,"My old man’s a white old man
And my old mother’s black.
If ever I cursed my white old man
I take my curses back.
 
If ever I cursed my black old mother
And wished she were in hell,
I’m sorry for that evil wish
And now I wish her well.
 
My old man died in a fine big house.
My ma died in a shack.
I wonder where I’m gonna die,
Being neither white nor black?"
LANGSTON HUGHES,"Daybreak in Alabama
","When I get to be a colored composer
I'm gonna write me some music about
Daybreak in Alabama
And I'm gonna put the purtiest songs in it
Rising out of the ground like a swamp mist
And falling out of heaven like soft dew
I'm gonna put some tall tall trees in it
And the scent of pine needles
And the smell of red clay after rain
And long red necks
And poppy colored faces
And big brown arms
And the field daisy eyes
Of black and white black white black people
And I'm gonna put white hands
And black hands and brown and yellow hands
And red clay earth hands in it
Touching everybody with kind fingers
Touching each other natural as dew
In that dawn of music when I
Get to be a colored composer
And write about daybreak
In Alabama."
LANGSTON HUGHES,"Dream Boogie
","Good morning, daddy!
Ain’t you heard
The boogie-woogie rumble
Of a dream deferred?
 
Listen closely:
You’ll hear their feet
Beating out and beating out a—
 
            You think
            It’s a happy beat?
 
Listen to it closely:
Ain’t you heard
something underneath
like a—
 
            What did I say?
 
Sure,
I’m happy!
Take it away!
 
            Hey, pop!
            Re-bop!
            Mop!
 
            Y-e-a-h!"
LANGSTON HUGHES,"Dream Dust
","Gather out of star-dust
            Earth-dust,
            Cloud-dust,
And splinters of hail,
One handful of dream-dust
            Not for sale."
LANGSTON HUGHES,"Easy Boogie
","Down in the bass
That steady beat
Walking walking walking
Like marching feet.
 
Down in the bass
That easy roll,
Rolling like I like it
In my soul.
 
            Riffs, smears, breaks.
 
Hey, Lawdy, Mama!
Do you hear what I said?
Easy like I rock it
In my bed!"
LANGSTON HUGHES,"Flatted Fifths
","Little cullud boys with beards
re-bop be-bop mop and stop.
 
Little cullud boys with fears,
frantic, kick their CC years
into flatted fifths and flatter beers
that at a sudden change become
sparkling Oriental wines
rich and strange
silken bathrobes with gold twines
and Heilbroner, Crawford,
Nat-undreamed-of Lewis combines
in silver thread and diamond notes
on trade-marks inside
Howard coats.
 
Little cullud boys in berets
            oop pop-a-da
horse a fantasy of days
            ool ya koo
and dig all plays."
LANGSTON HUGHES,"Freedom
","Freedom will not come
Today, this year
            Nor ever
Through compromise and fear.
 
I have as much right
As the other fellow has
            To stand
On my two feet
And own the land.
 
I tire so of hearing people say,
Let things take their course.
Tomorrow is another day.
I do not need my freedom when I’m dead.
I cannot live on tomorrow’s bread.
            Freedom
            Is a strong seed
            Planted
            In a great need.
            I live here, too.
            I want my freedom
            Just as you.   "
LANGSTON HUGHES,Harlem,"What happens to a dream deferred?

      Does it dry up
      like a raisin in the sun?
      Or fester like a sore—
      And then run?
      Does it stink like rotten meat?
      Or crust and sugar over—
      like a syrupy sweet?

      Maybe it just sags
      like a heavy load.

      Or does it explode?"
LANGSTON HUGHES,"Harlem Sweeties
","Have you dug the spill
Of Sugar Hill?
Cast your gims
On this sepia thrill:
Brown sugar lassie,
Caramel treat,
Honey-gold baby
Sweet enough to eat.
Peach-skinned girlie,
Coffee and cream,
Chocolate darling
Out of a dream.
Walnut tinted
Or cocoa brown,
Pomegranate-lipped
Pride of the town.
Rich cream-colored
To plum-tinted black,
Feminine sweetness
In Harlem’s no lack.
Glow of the quince
To blush of the rose.
Persimmon bronze
To cinnamon toes.
Blackberry cordial,
Virginia Dare wine—
All those sweet colors
Flavor Harlem of mine!
Walnut or cocoa,
Let me repeat:
Caramel, brown sugar,
A chocolate treat.
Molasses taffy,
Coffee and cream,
Licorice, clove, cinnamon
To a honey-brown dream.
Ginger, wine-gold,
Persimmon, blackberry,
All through the spectrum
Harlem girls vary—
So if you want to know beauty’s
Rainbow-sweet thrill,
Stroll down luscious,
Delicious, fine Sugar Hill."
LANGSTON HUGHES,Hope,"Sometimes when I’m lonely,
Don’t know why,
Keep thinkin’ I won’t be lonely
By and by."
LANGSTON HUGHES,"I, Too","I, too, sing America.

I am the darker brother.
They send me to eat in the kitchen
When company comes,
But I laugh,
And eat well,
And grow strong.

Tomorrow,
I’ll be at the table
When company comes.
Nobody’ll dare
Say to me,
“Eat in the kitchen,”
Then.

Besides,
They’ll see how beautiful I am
And be ashamed—

I, too, am America."
LANGSTON HUGHES,"If-ing
","If I had some small change
I’d buy me a mule,
Get on that mule and
Ride like a fool.
 
If I had some greenbacks
I’d buy me a Packard,
Fill it up with gas and
Drive that baby backward.
 
If I had a million
I’d get me a plane
And everybody in America’d
Think I was insane.
 
But I ain’t got a million,
Fact is, ain’t got a dime—
So just by if-ing
I have a good time!"
LANGSTON HUGHES,"Lady’s Boogie
","See that lady
Dressed so fine?
She ain’t got boogie-woogie
On her mind—
 
But if she was to listen
I bet she’d hear,
Way up in the treble
The tingle of a tear.
 
            Be-Bach!"
